label,class_name,character,total,b1=0_count,b1=1_count,b1>=2_count,b1=0_%,b1=1_%,b1>=2_%,mean_b0,mean_b1,dominant_b1,confidence_%,official_b1
0,character_1_ka,क,2000,55,1463,482,2.8,73.2,24.1,1.092,1.281,1,73.2,1
1,character_2_kha,ख,2000,70,1232,698,3.5,61.6,34.9,1.434,1.42,1,61.6,-1
2,character_3_ga,ग,2000,1918,78,4,95.9,3.9,0.2,1.23,0.044,0,95.9,0
3,character_4_gha,घ,2000,482,1288,230,24.1,64.4,11.5,1.228,0.902,1,64.4,-1
4,character_5_kna,ङ,2000,1420,457,123,71.0,22.9,6.2,2.08,0.362,0,71.0,0
5,character_6_cha,च,2000,1809,156,35,90.5,7.8,1.8,1.288,0.115,0,90.5,0
6,character_7_chha,छ,2000,1016,677,307,50.8,33.9,15.3,1.179,0.693,0,50.8,-1
7,character_8_ja,ज,2000,1899,93,8,95.0,4.7,0.4,1.281,0.056,0,95.0,0
8,character_9_jha,झ,2000,298,741,961,14.9,37.0,48.0,1.291,1.54,1,37.0,-1
9,character_10_yna,ञ,2000,1903,89,8,95.2,4.5,0.4,1.17,0.053,0,95.2,0
10,character_11_taamatar,ट,2000,1952,48,0,97.6,2.4,0.0,1.206,0.024,0,97.6,0
11,character_12_thaa,ठ,2000,78,1801,121,3.9,90.0,6.0,1.288,1.03,1,90.0,1
12,character_13_daa,ड,2000,1772,199,29,88.6,9.9,1.4,1.276,0.13,0,88.6,0
13,character_14_dhaa,ढ,2000,271,1597,132,13.6,79.8,6.6,1.514,0.934,1,79.8,1
14,character_15_adna,ण,2000,673,1298,29,33.6,64.9,1.4,1.39,0.679,1,64.9,-1
15,character_16_tabala,त,2000,1891,92,17,94.5,4.6,0.8,1.15,0.063,0,94.5,0
16,character_17_tha,थ,2000,208,1161,631,10.4,58.0,31.6,1.452,1.272,1,58.0,-1
17,character_18_da,द,2000,1105,754,141,55.2,37.7,7.0,1.366,0.53,0,55.2,-1
18,character_19_dha,ध,2000,377,1108,515,18.9,55.4,25.8,1.192,1.152,1,55.4,-1
19,character_20_na,न,2000,230,1644,126,11.5,82.2,6.3,1.251,0.954,1,82.2,1
20,character_21_pa,प,2000,527,1434,39,26.4,71.7,1.9,1.221,0.756,1,71.7,1
21,character_22_pha,फ,2000,493,1390,117,24.6,69.5,5.8,1.35,0.814,1,69.5,-1
22,character_23_ba,ब,2000,108,393,1499,5.4,19.6,75.0,1.272,1.96,2,54.3,-1
23,character_24_bha,भ,2000,178,544,1278,8.9,27.2,63.9,1.249,1.758,2,47.0,-1
24,character_25_ma,म,2000,60,515,1425,3.0,25.8,71.2,1.266,1.732,2,66.8,-1
25,character_26_yaw,य,2000,710,1135,155,35.5,56.8,7.8,1.548,0.73,1,56.8,-1
26,character_27_ra,र,2000,1265,667,68,63.2,33.4,3.4,1.271,0.407,0,63.2,-1
27,character_28_la,ल,2000,1691,272,37,84.5,13.6,1.9,1.827,0.174,0,84.5,0
28,character_29_waw,व,2000,215,1398,387,10.8,69.9,19.4,1.383,1.134,1,69.9,-1
29,character_30_motosaw,श,2000,430,659,911,21.5,33.0,45.5,1.911,1.461,1,33.0,-1
30,character_31_petchiryakha,ष,2000,46,425,1529,2.3,21.2,76.5,1.26,1.834,2,68.5,-1
31,character_32_patalosaw,स,2000,338,1069,593,16.9,53.5,29.6,1.488,1.2,1,53.5,-1
32,character_33_ha,ह,2000,1337,513,150,66.8,25.6,7.5,1.751,0.42,0,66.8,-1
33,character_34_chhya,क्ष,2000,246,800,954,12.3,40.0,47.7,1.665,1.64,1,40.0,-1
34,character_35_tra,त्र,2000,1722,243,35,86.1,12.2,1.8,1.486,0.158,0,86.1,0
35,character_36_gya,ज्ञ,2000,491,1288,221,24.6,64.4,11.1,1.292,0.878,1,64.4,-1
36,digit_0,०,2000,736,1122,142,36.8,56.1,7.1,2.524,0.721,1,56.1,-1
37,digit_1,१,2000,245,1693,62,12.2,84.7,3.1,1.046,0.912,1,84.7,1
38,digit_2,२,2000,1036,718,246,51.8,35.9,12.3,1.06,0.643,0,51.8,-1
39,digit_3,३,2000,842,943,215,42.1,47.1,10.8,1.133,0.704,1,47.1,-1
40,digit_4,४,2000,122,1809,69,6.1,90.5,3.5,1.164,0.977,1,90.5,1
41,digit_5,५,2000,451,1371,178,22.6,68.5,8.9,1.368,0.872,1,68.5,-1
42,digit_6,६,2000,1385,464,151,69.2,23.2,7.5,1.463,0.398,0,69.2,-1
43,digit_7,७,2000,170,1782,48,8.5,89.1,2.4,1.146,0.944,1,89.1,1
44,digit_8,८,2000,1936,60,4,96.8,3.0,0.2,1.577,0.034,0,96.8,0
45,digit_9,९,2000,314,1425,261,15.7,71.2,13.1,1.041,1.022,1,71.2,1
